ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
jaso2jh() wrong!8AA5 -  2 15 5
jaso2jh() wrong!8AA9 -  2 15 9
jaso2jh() wrong!8AB6 -  2 15 16
jaso2jh() wrong!8AB7 -  2 15 17
jaso2jh() wrong!8AC1 -  2 16 1
jaso2jh() wrong!8AD5 -  2 16 15
jaso2jh() wrong!8AE1 -  2 17 1
jaso2jh() wrong!8AE2 -  2 17 2
jaso2jh() wrong!8AE5 -  2 17 5
jaso2jh() wrong!8AE9 -  2 17 9
jaso2jh() wrong!8AF1 -  2 17 11
jaso2jh() wrong!8AF3 -  2 17 13
jaso2jh() wrong!8AF5 -  2 17 15
jaso2jh() wrong!8B41 -  2 1A 1
jaso2jh() wrong!8B45 -  2 1A 5
jaso2jh() wrong!8B49 -  2 1A 9
jaso2jh() wrong!8B61 -  2 1B 1
jaso2jh() wrong!8B62 -  2 1B 2
jaso2jh() wrong!8B65 -  2 1B 5
jaso2jh() wrong!8B68 -  2 1B 8
jaso2jh() wrong!8B69 -  2 1B 9
jaso2jh() wrong!8B6A -  2 1B A
jaso2jh() wrong!8B71 -  2 1B 11
jaso2jh() wrong!8B73 -  2 1B 13
jaso2jh() wrong!8B75 -  2 1B 15
jaso2jh() wrong!8B77 -  2 1B 17
jaso2jh() wrong!8B81 -  2 1C 1
jaso2jh() wrong!8BA1 -  2 1D 1
jaso2jh() wrong!8BA2 -  2 1D 2
jaso2jh() wrong!8BA5 -  2 1D 5
jaso2jh() wrong!8BA8 -  2 1D 8
jaso2jh() wrong!8BA9 -  2 1D 9
jaso2jh() wrong!8BAB -  2 1D B
jaso2jh() wrong!8BB1 -  2 1D 11
jaso2jh() wrong!8BB3 -  2 1D 13
jaso2jh() wrong!8BB5 -  2 1D 15
jaso2jh() wrong!8BB7 -  2 1D 17
jaso2jh() wrong!8BB8 -  2 1D 18
jaso2jh() wrong!8BBC -  2 1D 1C
jaso2jh() wrong!8C61 -  3 3 1
jaso2jh() wrong!8C62 -  3 3 2
jaso2jh() wrong!8C63 -  3 3 3
jaso2jh() wrong!8C65 -  3 3 5
jaso2jh() wrong!8C69 -  3 3 9
jaso2jh() wrong!8C6B -  3 3 B
jaso2jh() wrong!8C71 -  3 3 11
jaso2jh() wrong!8C73 -  3 3 13
jaso2jh() wrong!8C75 -  3 3 15
jaso2jh() wrong!8C76 -  3 3 16
jaso2jh() wrong!8C77 -  3 3 17
jaso2jh() wrong!8C7B -  3 3 1B
jaso2jh() wrong!8C81 -  3 4 1
jaso2jh() wrong!8C82 -  3 4 2
jaso2jh() wrong!8C85 -  3 4 5
jaso2jh() wrong!8C89 -  3 4 9
jaso2jh() wrong!8C91 -  3 4 11
jaso2jh() wrong!8C93 -  3 4 13
jaso2jh() wrong!8C95 -  3 4 15
jaso2jh() wrong!8C96 -  3 4 16
jaso2jh() wrong!8C97 -  3 4 17
jaso2jh() wrong!8CA1 -  3 5 1
jaso2jh() wrong!8CA2 -  3 5 2
jaso2jh() wrong!8CA9 -  3 5 9
jaso2jh() wrong!8CE1 -  3 7 1
jaso2jh() wrong!8CE2 -  3 7 2
jaso2jh() wrong!8CE3 -  3 7 3
jaso2jh() wrong!8CE5 -  3 7 5
jaso2jh() wrong!8CE9 -  3 7 9
jaso2jh() wrong!8CF1 -  3 7 11
jaso2jh() wrong!8CF3 -  3 7 13
jaso2jh() wrong!8CF5 -  3 7 15
jaso2jh() wrong!8CF6 -  3 7 16
jaso2jh() wrong!8CF7 -  3 7 17
jaso2jh() wrong!8D41 -  3 A 1
jaso2jh() wrong!8D42 -  3 A 2
jaso2jh() wrong!8D45 -  3 A 5
jaso2jh() wrong!8D51 -  3 A 11
jaso2jh() wrong!8D55 -  3 A 15
jaso2jh() wrong!8D57 -  3 A 17
jaso2jh() wrong!8D61 -  3 B 1
jaso2jh() wrong!8D65 -  3 B 5
jaso2jh() wrong!8D69 -  3 B 9
jaso2jh() wrong!8D75 -  3 B 15
jaso2jh() wrong!8D76 -  3 B 16
jaso2jh() wrong!8D7B -  3 B 1B
jaso2jh() wrong!8D81 -  3 C 1
jaso2jh() wrong!8DA1 -  3 D 1
jaso2jh() wrong!8DA2 -  3 D 2
jaso2jh() wrong!8DA5 -  3 D 5
jaso2jh() wrong!8DA7 -  3 D 7
jaso2jh() wrong!8DA9 -  3 D 9
jaso2jh() wrong!8DB1 -  3 D 11
jaso2jh() wrong!8DB3 -  3 D 13
jaso2jh() wrong!8DB5 -  3 D 15
jaso2jh() wrong!8DB7 -  3 D 17
jaso2jh() wrong!8DB8 -  3 D 18
jaso2jh() wrong!8DB9 -  3 D 19
jaso2jh() wrong!8DC1 -  3 E 1
jaso2jh() wrong!8DC2 -  3 E 2
jaso2jh() wrong!8DC9 -  3 E 9
jaso2jh() wrong!8DD6 -  3 E 16
jaso2jh() wrong!8DD7 -  3 E 17
jaso2jh() wrong!8DE1 -  3 F 1
jaso2jh() wrong!8DE2 -  3 F 2
jaso2jh() wrong!8DF7 -  3 F 17
jaso2jh() wrong!8E41 -  3 12 1
jaso2jh() wrong!8E45 -  3 12 5
jaso2jh() wrong!8E49 -  3 12 9
jaso2jh() wrong!8E51 -  3 12 11
jaso2jh() wrong!8E53 -  3 12 13
jaso2jh() wrong!8E57 -  3 12 17
jaso2jh() wrong!8E61 -  3 13 1
jaso2jh() wrong!8E81 -  3 14 1
jaso2jh() wrong!8E82 -  3 14 2
jaso2jh() wrong!8E85 -  3 14 5
jaso2jh() wrong!8E89 -  3 14 9
jaso2jh() wrong!8E90 -  3 14 10
jaso2jh() wrong!8E91 -  3 14 11
jaso2jh() wrong!8E93 -  3 14 13
jaso2jh() wrong!8E95 -  3 14 15
jaso2jh() wrong!8E97 -  3 14 17
jaso2jh() wrong!8E98 -  3 14 18
jaso2jh() wrong!8EA1 -  3 15 1
jaso2jh() wrong!8EA9 -  3 15 9
jaso2jh() wrong!8EB6 -  3 15 16
jaso2jh() wrong!8EB7 -  3 15 17
jaso2jh() wrong!8EC1 -  3 16 1
jaso2jh() wrong!8EC2 -  3 16 2
jaso2jh() wrong!8EC5 -  3 16 5
jaso2jh() wrong!8EC9 -  3 16 9
jaso2jh() wrong!8ED1 -  3 16 11
jaso2jh() wrong!8ED3 -  3 16 13
jaso2jh() wrong!8ED6 -  3 16 16
jaso2jh() wrong!8EE1 -  3 17 1
jaso2jh() wrong!8EE5 -  3 17 5
jaso2jh() wrong!8EE9 -  3 17 9
jaso2jh() wrong!8EF1 -  3 17 11
jaso2jh() wrong!8EF3 -  3 17 13
jaso2jh() wrong!8F41 -  3 1A 1
jaso2jh() wrong!8F61 -  3 1B 1
jaso2jh() wrong!8F62 -  3 1B 2
jaso2jh() wrong!8F65 -  3 1B 5
jaso2jh() wrong!8F67 -  3 1B 7
jaso2jh() wrong!8F69 -  3 1B 9
jaso2jh() wrong!8F6B -  3 1B B
jaso2jh() wrong!8F70 -  3 1B 10
jaso2jh() wrong!8F71 -  3 1B 11
jaso2jh() wrong!8F73 -  3 1B 13
jaso2jh() wrong!8F75 -  3 1B 15
jaso2jh() wrong!8F77 -  3 1B 17
jaso2jh() wrong!8F7B -  3 1B 1B
jaso2jh() wrong!8FA1 -  3 1D 1
jaso2jh() wrong!8FA2 -  3 1D 2
jaso2jh() wrong!8FA5 -  3 1D 5
jaso2jh() wrong!8FA9 -  3 1D 9
jaso2jh() wrong!8FB1 -  3 1D 11
jaso2jh() wrong!8FB3 -  3 1D 13
jaso2jh() wrong!8FB5 -  3 1D 15
jaso2jh() wrong!8FB7 -  3 1D 17
jaso2jh() wrong!9061 -  4 3 1
jaso2jh() wrong!9062 -  4 3 2
jaso2jh() wrong!9063 -  4 3 3
jaso2jh() wrong!9065 -  4 3 5
jaso2jh() wrong!9068 -  4 3 8
jaso2jh() wrong!9069 -  4 3 9
jaso2jh() wrong!906A -  4 3 A
jaso2jh() wrong!906B -  4 3 B
jaso2jh() wrong!9071 -  4 3 11
jaso2jh() wrong!9073 -  4 3 13
jaso2jh() wrong!9075 -  4 3 15
jaso2jh() wrong!9076 -  4 3 16
jaso2jh() wrong!9077 -  4 3 17
jaso2jh() wrong!9078 -  4 3 18
jaso2jh() wrong!9079 -  4 3 19
jaso2jh() wrong!907B -  4 3 1B
jaso2jh() wrong!907D -  4 3 1D
jaso2jh() wrong!9081 -  4 4 1
jaso2jh() wrong!9082 -  4 4 2
jaso2jh() wrong!9085 -  4 4 5
jaso2jh() wrong!9089 -  4 4 9
jaso2jh() wrong!9091 -  4 4 11
jaso2jh() wrong!9093 -  4 4 13
jaso2jh() wrong!9095 -  4 4 15
jaso2jh() wrong!9096 -  4 4 16
jaso2jh() wrong!9097 -  4 4 17
jaso2jh() wrong!90A1 -  4 5 1
jaso2jh() wrong!90A2 -  4 5 2
jaso2jh() wrong!90A5 -  4 5 5
jaso2jh() wrong!90A9 -  4 5 9
jaso2jh() wrong!90B1 -  4 5 11
jaso2jh() wrong!90B7 -  4 5 17
jaso2jh() wrong!90E1 -  4 7 1
jaso2jh() wrong!90E2 -  4 7 2
jaso2jh() wrong!90E4 -  4 7 4
jaso2jh() wrong!90E5 -  4 7 5
jaso2jh() wrong!90E9 -  4 7 9
jaso2jh() wrong!90EB -  4 7 B
jaso2jh() wrong!90EC -  4 7 C
jaso2jh() wrong!90F1 -  4 7 11
jaso2jh() wrong!90F3 -  4 7 13
jaso2jh() wrong!90F5 -  4 7 15
jaso2jh() wrong!90F6 -  4 7 16
jaso2jh() wrong!90F7 -  4 7 17
jaso2jh() wrong!90FD -  4 7 1D
jaso2jh() wrong!9141 -  4 A 1
jaso2jh() wrong!9142 -  4 A 2
jaso2jh() wrong!9145 -  4 A 5
jaso2jh() wrong!9149 -  4 A 9
jaso2jh() wrong!9151 -  4 A 11
jaso2jh() wrong!9153 -  4 A 13
jaso2jh() wrong!9155 -  4 A 15
jaso2jh() wrong!9156 -  4 A 16
jaso2jh() wrong!9157 -  4 A 17
jaso2jh() wrong!9161 -  4 B 1
jaso2jh() wrong!9162 -  4 B 2
jaso2jh() wrong!9165 -  4 B 5
jaso2jh() wrong!9169 -  4 B 9
jaso2jh() wrong!9171 -  4 B 11
jaso2jh() wrong!9173 -  4 B 13
jaso2jh() wrong!9176 -  4 B 16
jaso2jh() wrong!9177 -  4 B 17
jaso2jh() wrong!917A -  4 B 1A
jaso2jh() wrong!9181 -  4 C 1
jaso2jh() wrong!9185 -  4 C 5
jaso2jh() wrong!91A1 -  4 D 1
jaso2jh() wrong!91A2 -  4 D 2
jaso2jh() wrong!91A5 -  4 D 5
jaso2jh() wrong!91A9 -  4 D 9
jaso2jh() wrong!91AB -  4 D B
jaso2jh() wrong!91B1 -  4 D 11
jaso2jh() wrong!91B3 -  4 D 13
jaso2jh() wrong!91B5 -  4 D 15
jaso2jh() wrong!91B7 -  4 D 17
jaso2jh() wrong!91BC -  4 D 1C
jaso2jh() wrong!91BD -  4 D 1D
jaso2jh() wrong!91C1 -  4 E 1
jaso2jh() wrong!91C5 -  4 E 5
jaso2jh() wrong!91C9 -  4 E 9
jaso2jh() wrong!91D6 -  4 E 16
jaso2jh() wrong!9241 -  4 12 1
jaso2jh() wrong!9245 -  4 12 5
jaso2jh() wrong!9249 -  4 12 9
jaso2jh() wrong!9251 -  4 12 11
jaso2jh() wrong!9253 -  4 12 13
jaso2jh() wrong!9255 -  4 12 15
jaso2jh() wrong!9261 -  4 13 1
jaso2jh() wrong!9262 -  4 13 2
jaso2jh() wrong!9265 -  4 13 5
jaso2jh() wrong!9269 -  4 13 9
jaso2jh() wrong!9273 -  4 13 13
jaso2jh() wrong!9275 -  4 13 15
jaso2jh() wrong!9277 -  4 13 17
jaso2jh() wrong!9281 -  4 14 1
jaso2jh() wrong!9282 -  4 14 2
jaso2jh() wrong!9285 -  4 14 5
jaso2jh() wrong!9288 -  4 14 8
jaso2jh() wrong!9289 -  4 14 9
jaso2jh() wrong!9291 -  4 14 11
jaso2jh() wrong!9293 -  4 14 13
jaso2jh() wrong!9295 -  4 14 15
jaso2jh() wrong!9297 -  4 14 17
jaso2jh() wrong!92A1 -  4 15 1
jaso2jh() wrong!92B6 -  4 15 16
jaso2jh() wrong!92C1 -  4 16 1
jaso2jh() wrong!92E1 -  4 17 1
jaso2jh() wrong!92E5 -  4 17 5
jaso2jh() wrong!92E9 -  4 17 9
jaso2jh() wrong!92F1 -  4 17 11
jaso2jh() wrong!92F3 -  4 17 13
jaso2jh() wrong!9341 -  4 1A 1
jaso2jh() wrong!9342 -  4 1A 2
jaso2jh() wrong!9349 -  4 1A 9
jaso2jh() wrong!9351 -  4 1A 11
jaso2jh() wrong!9353 -  4 1A 13
jaso2jh() wrong!9357 -  4 1A 17
jaso2jh() wrong!9361 -  4 1B 1
jaso2jh() wrong!9362 -  4 1B 2
jaso2jh() wrong!9365 -  4 1B 5
jaso2jh() wrong!9369 -  4 1B 9
jaso2jh() wrong!936A -  4 1B A
jaso2jh() wrong!936B -  4 1B B
jaso2jh() wrong!9371 -  4 1B 11
jaso2jh() wrong!9373 -  4 1B 13
jaso2jh() wrong!9375 -  4 1B 15
jaso2jh() wrong!9377 -  4 1B 17
jaso2jh() wrong!9378 -  4 1B 18
jaso2jh() wrong!937C -  4 1B 1C
jaso2jh() wrong!9381 -  4 1C 1
jaso2jh() wrong!9385 -  4 1C 5
jaso2jh() wrong!9389 -  4 1C 9
jaso2jh() wrong!93A1 -  4 1D 1
jaso2jh() wrong!93A2 -  4 1D 2
jaso2jh() wrong!93A5 -  4 1D 5
jaso2jh() wrong!93A9 -  4 1D 9
jaso2jh() wrong!93AF -  4 1D F
jaso2jh() wrong!93B1 -  4 1D 11
jaso2jh() wrong!93B3 -  4 1D 13
jaso2jh() wrong!93B5 -  4 1D 15
jaso2jh() wrong!93B7 -  4 1D 17
jaso2jh() wrong!93BC -  4 1D 1C
jaso2jh() wrong!9461 -  5 3 1
jaso2jh() wrong!9462 -  5 3 2
jaso2jh() wrong!9463 -  5 3 3
jaso2jh() wrong!9465 -  5 3 5
jaso2jh() wrong!9468 -  5 3 8
jaso2jh() wrong!9469 -  5 3 9
jaso2jh() wrong!946A -  5 3 A
jaso2jh() wrong!946B -  5 3 B
jaso2jh() wrong!946C -  5 3 C
jaso2jh() wrong!9470 -  5 3 10
jaso2jh() wrong!9471 -  5 3 11
jaso2jh() wrong!9473 -  5 3 13
jaso2jh() wrong!9475 -  5 3 15
jaso2jh() wrong!9476 -  5 3 16
jaso2jh() wrong!9477 -  5 3 17
jaso2jh() wrong!9478 -  5 3 18
jaso2jh() wrong!9479 -  5 3 19
jaso2jh() wrong!947D -  5 3 1D
jaso2jh() wrong!9481 -  5 4 1
jaso2jh() wrong!9482 -  5 4 2
jaso2jh() wrong!9485 -  5 4 5
jaso2jh() wrong!9489 -  5 4 9
jaso2jh() wrong!9491 -  5 4 11
jaso2jh() wrong!9493 -  5 4 13
jaso2jh() wrong!9495 -  5 4 15
jaso2jh() wrong!9496 -  5 4 16
jaso2jh() wrong!9497 -  5 4 17
jaso2jh() wrong!94A1 -  5 5 1
jaso2jh() wrong!94E1 -  5 7 1
jaso2jh() wrong!94E2 -  5 7 2
jaso2jh() wrong!94E3 -  5 7 3
jaso2jh() wrong!94E5 -  5 7 5
jaso2jh() wrong!94E8 -  5 7 8
jaso2jh() wrong!94E9 -  5 7 9
jaso2jh() wrong!94EB -  5 7 B
jaso2jh() wrong!94EC -  5 7 C
jaso2jh() wrong!94F1 -  5 7 11
jaso2jh() wrong!94F3 -  5 7 13
jaso2jh() wrong!94F5 -  5 7 15
jaso2jh() wrong!94F7 -  5 7 17
jaso2jh() wrong!94F9 -  5 7 19
jaso2jh() wrong!94FC -  5 7 1C
jaso2jh() wrong!9541 -  5 A 1
jaso2jh() wrong!9542 -  5 A 2
jaso2jh() wrong!9545 -  5 A 5
jaso2jh() wrong!9549 -  5 A 9
jaso2jh() wrong!9551 -  5 A 11
jaso2jh() wrong!9553 -  5 A 13
jaso2jh() wrong!9555 -  5 A 15
jaso2jh() wrong!9556 -  5 A 16
jaso2jh() wrong!9557 -  5 A 17
jaso2jh() wrong!9561 -  5 B 1
jaso2jh() wrong!9565 -  5 B 5
jaso2jh() wrong!9569 -  5 B 9
jaso2jh() wrong!9576 -  5 B 16
jaso2jh() wrong!9577 -  5 B 17
jaso2jh() wrong!9581 -  5 C 1
jaso2jh() wrong!9585 -  5 C 5
jaso2jh() wrong!95A1 -  5 D 1
jaso2jh() wrong!95A2 -  5 D 2
jaso2jh() wrong!95A5 -  5 D 5
jaso2jh() wrong!95A8 -  5 D 8
jaso2jh() wrong!95A9 -  5 D 9
jaso2jh() wrong!95AB -  5 D B
jaso2jh() wrong!95AD -  5 D D
jaso2jh() wrong!95B1 -  5 D 11
jaso2jh() wrong!95B3 -  5 D 13
jaso2jh() wrong!95B5 -  5 D 15
jaso2jh() wrong!95B7 -  5 D 17
jaso2jh() wrong!95B9 -  5 D 19
jaso2jh() wrong!95BB -  5 D 1B
jaso2jh() wrong!95C1 -  5 E 1
jaso2jh() wrong!95C5 -  5 E 5
jaso2jh() wrong!95C9 -  5 E 9
jaso2jh() wrong!95E1 -  5 F 1
jaso2jh() wrong!95F6 -  5 F 16
jaso2jh() wrong!9641 -  5 12 1
jaso2jh() wrong!9645 -  5 12 5
jaso2jh() wrong!9649 -  5 12 9
jaso2jh() wrong!9651 -  5 12 11
jaso2jh() wrong!9653 -  5 12 13
jaso2jh() wrong!9655 -  5 12 15
jaso2jh() wrong!9661 -  5 13 1
jaso2jh() wrong!9681 -  5 14 1
jaso2jh() wrong!9682 -  5 14 2
jaso2jh() wrong!9685 -  5 14 5
jaso2jh() wrong!9689 -  5 14 9
jaso2jh() wrong!9691 -  5 14 11
jaso2jh() wrong!9693 -  5 14 13
jaso2jh() wrong!9695 -  5 14 15
jaso2jh() wrong!9697 -  5 14 17
jaso2jh() wrong!96A1 -  5 15 1
jaso2jh() wrong!96B6 -  5 15 16
jaso2jh() wrong!96C1 -  5 16 1
jaso2jh() wrong!96D7 -  5 16 17
jaso2jh() wrong!96E1 -  5 17 1
jaso2jh() wrong!96E5 -  5 17 5
jaso2jh() wrong!96E9 -  5 17 9
jaso2jh() wrong!96F3 -  5 17 13
jaso2jh() wrong!96F5 -  5 17 15
jaso2jh() wrong!96F7 -  5 17 17
jaso2jh() wrong!9741 -  5 1A 1
jaso2jh() wrong!9745 -  5 1A 5
jaso2jh() wrong!9749 -  5 1A 9
jaso2jh() wrong!9751 -  5 1A 11
jaso2jh() wrong!9757 -  5 1A 17
jaso2jh() wrong!9761 -  5 1B 1
jaso2jh() wrong!9762 -  5 1B 2
jaso2jh() wrong!9765 -  5 1B 5
jaso2jh() wrong!9768 -  5 1B 8
jaso2jh() wrong!9769 -  5 1B 9
jaso2jh() wrong!976B -  5 1B B
jaso2jh() wrong!9771 -  5 1B 11
jaso2jh() wrong!9773 -  5 1B 13
jaso2jh() wrong!9775 -  5 1B 15
jaso2jh() wrong!9777 -  5 1B 17
jaso2jh() wrong!9781 -  5 1C 1
jaso2jh() wrong!97A1 -  5 1D 1
jaso2jh() wrong!97A2 -  5 1D 2
jaso2jh() wrong!97A5 -  5 1D 5
jaso2jh() wrong!97A8 -  5 1D 8
jaso2jh() wrong!97A9 -  5 1D 9
jaso2jh() wrong!97B1 -  5 1D 11
jaso2jh() wrong!97B3 -  5 1D 13
jaso2jh() wrong!97B5 -  5 1D 15
jaso2jh() wrong!97B6 -  5 1D 16
jaso2jh() wrong!97B7 -  5 1D 17
jaso2jh() wrong!97B8 -  5 1D 18
jaso2jh() wrong!9861 -  6 3 1
jaso2jh() wrong!9862 -  6 3 2
jaso2jh() wrong!9865 -  6 3 5
jaso2jh() wrong!9869 -  6 3 9
jaso2jh() wrong!9871 -  6 3 11
jaso2jh() wrong!9873 -  6 3 13
jaso2jh() wrong!9875 -  6 3 15
jaso2jh() wrong!9876 -  6 3 16
jaso2jh() wrong!9877 -  6 3 17
jaso2jh() wrong!987D -  6 3 1D
jaso2jh() wrong!9881 -  6 4 1
jaso2jh() wrong!9882 -  6 4 2
jaso2jh() wrong!9885 -  6 4 5
jaso2jh() wrong!9889 -  6 4 9
jaso2jh() wrong!9891 -  6 4 11
jaso2jh() wrong!9893 -  6 4 13
jaso2jh() wrong!9895 -  6 4 15
jaso2jh() wrong!9896 -  6 4 16
jaso2jh() wrong!9897 -  6 4 17
jaso2jh() wrong!98E1 -  6 7 1
jaso2jh() wrong!98E2 -  6 7 2
jaso2jh() wrong!98E5 -  6 7 5
jaso2jh() wrong!98E9 -  6 7 9
jaso2jh() wrong!98EB -  6 7 B
jaso2jh() wrong!98EC -  6 7 C
jaso2jh() wrong!98F1 -  6 7 11
jaso2jh() wrong!98F3 -  6 7 13
jaso2jh() wrong!98F5 -  6 7 15
jaso2jh() wrong!98F6 -  6 7 16
jaso2jh() wrong!98F7 -  6 7 17
jaso2jh() wrong!98FD -  6 7 1D
jaso2jh() wrong!9941 -  6 A 1
jaso2jh() wrong!9942 -  6 A 2
jaso2jh() wrong!9945 -  6 A 5
jaso2jh() wrong!9949 -  6 A 9
jaso2jh() wrong!9951 -  6 A 11
jaso2jh() wrong!9953 -  6 A 13
jaso2jh() wrong!9955 -  6 A 15
jaso2jh() wrong!9956 -  6 A 16
jaso2jh() wrong!9957 -  6 A 17
jaso2jh() wrong!9961 -  6 B 1
jaso2jh() wrong!9976 -  6 B 16
jaso2jh() wrong!99A1 -  6 D 1
jaso2jh() wrong!99A2 -  6 D 2
jaso2jh() wrong!99A5 -  6 D 5
jaso2jh() wrong!99A9 -  6 D 9
jaso2jh() wrong!99B7 -  6 D 17
jaso2jh() wrong!99C1 -  6 E 1
jaso2jh() wrong!99C9 -  6 E 9
jaso2jh() wrong!99E1 -  6 F 1
